UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability,mean_meanOutageDuration_wi_BF,std_meanOutageDuration_wi_BF,median_meanOutageDuration_wi_BF,mean_outageProbability_wi_BF,std_outageProbability_wi_BF,median_outageProbability_wi_BF
12,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.292346401948151,0.257466080918707,0.0701058944681299,0.0321807702687712,0.0404007524792163,0.00484340073997995,0.0290408143862476,0.0335243906206005,0.00212122181818715,0.000130714009929903,0.000137629072100085,0.0001166672250003,0.0290408143862476,0.0335243906206005,0.00212122181818715,0.000130714009929903,0.000137629072100085,0.0001166672250003
12,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.220454029769962,0.230074236598398,0.07,0.0221673468156082,0.0344569727201797,0.004566667533334,0.0298758896452823,0.0336113510604358,0.0023077021153896,0.000134591363947189,0.00016238742002278,0.0001166672333336,0.0298758896452823,0.0336113510604358,0.0023077021153896,0.000134591363947189,0.00016238742002278,0.0001166672333336
12,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.165305618075312,0.207853707945243,0.07,0.0141535474455148,0.0254825777719847,0.0034761389210446,0.0301355031435151,0.0339112069989998,0.00259616347527975,0.00011666721845271,5.61880734934074e-10,0.00011666710000025,0.0301355031435151,0.0339112069989998,0.00259616347527975,0.00011666721845271,5.61880734934074e-10,0.00011666710000025
12,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.13603262139328,0.181513339244539,0.07,0.0100842385241884,0.0197202293892725,0.00310523739602305,0.0296286751533252,0.0337519411210179,0.00250000964286285,0.000117763663596789,9.55901732080908e-06,0.0001166671500003,0.0296286751533252,0.0337519411210179,0.00250000964286285,0.000117763663596789,9.55901732080908e-06,0.0001166671500003
13,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.260071590670431,0.25087225509725,0.07,0.0312223216106704,0.0427906786914904,0.005458777517767,0.0307417169420806,0.0341503522544455,0.00164729658638355,0.000116667371180951,7.21866376698862e-10,0.0001166673583337,0.0307417169420806,0.0341503522544455,0.00164729658638355,0.000116667371180951,7.21866376698862e-10,0.0001166673583337
13,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.197545177320984,0.220401947749765,0.07,0.0209465494286366,0.0353483425819029,0.0036439567857325,0.0312444903019296,0.03395831906438,0.002000009714291,0.000116667250366641,6.2022022010325e-10,0.0001166672333336,0.0312444903019296,0.03395831906438,0.002000009714291,0.000116667250366641,6.2022022010325e-10,0.0001166672333336
13,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.201006829754133,0.233238044436145,0.07,0.0184751684609071,0.0298026822689446,0.0031142519275329,0.0300462560581637,0.0335402398053903,0.0024569062007454,0.000123321900700264,5.25812793830938e-05,0.00011666714166695,0.0300462560581637,0.0335402398053903,0.0024569062007454,0.000123321900700264,5.25812793830938e-05,0.00011666714166695
13,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.143662926748495,0.184956236280499,0.07,0.0102156523520319,0.0202716515439631,0.00328333396666715,0.030817312505852,0.0338578439559087,0.0024138027586264,0.000116667152193268,4.88045056658323e-10,0.0001166671333336,0.030817312505852,0.0338578439559087,0.0024138027586264,0.000116667152193268,4.88045056658323e-10,0.0001166671333336
14,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.289049751764355,0.259145921185948,0.0709542218642106,0.0371074040487047,0.0497078867229059,0.0060710232232645,0.0310669483657136,0.0339815592049574,0.00292174871304935,0.000116667383680983,7.92405841395686e-10,0.00011666705000025,0.0310669483657136,0.0339815592049574,0.00292174871304935,0.000116667383680983,7.92405841395686e-10,0.00011666705000025
14,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.239087115419016,0.244044951447451,0.07,0.0198973627754031,0.0296141033668421,0.0038884348725534,0.0303139078891363,0.0334102536943315,0.0033333428571481,0.000116667160622998,5.25654004296659e-10,0.0001166670000002,0.0303139078891363,0.0334102536943315,0.0033333428571481,0.000116667160622998,5.25654004296659e-10,0.0001166670000002
14,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.24536297196191,0.251144612586808,0.07,0.020413503972458,0.0314047756941728,0.0050904722709823,0.0292189784810998,0.0332587108489448,0.00385417611607785,0.000116667202976489,5.72730427389429e-10,0.0001166669583335,0.0292189784810998,0.0332587108489448,0.00385417611607785,0.000116667202976489,5.72730427389429e-10,0.0001166669583335
14,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.127915456007892,0.167835226675666,0.07,0.010252352091359,0.021906783348273,0.0018812388748662,0.0326764221767126,0.034027934613329,0.00364974209893485,0.000116667160088021,5.50845318264657e-10,0.00011666697500015,0.0326764221767126,0.034027934613329,0.00364974209893485,0.000116667160088021,5.50845318264657e-10,0.00011666697500015
15,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.310128144300947,0.275683679496563,0.0830273781565278,0.0359443078064311,0.0432587884152452,0.0108141145860144,0.0253533366990684,0.0326842275991427,0.00135936123869395,0.000125315333932074,8.47318113490762e-05,0.0001166675250005,0.0253533366990684,0.0326842275991427,0.00135936123869395,0.000125315333932074,8.47318113490762e-05,0.0001166675250005
15,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.249236054911922,0.256627955769992,0.07,0.0253071912158083,0.036299882533587,0.0048613994739085,0.0282218100675881,0.0334167998889291,0.0018421150000056,0.000116667286264093,6.02810576944043e-10,0.0001166672833337,0.0282218100675881,0.0334167998889291,0.0018421150000056,0.000116667286264093,6.02810576944043e-10,0.0001166672833337
15,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.190374178501701,0.22393158351391,0.07,0.0192098263981971,0.0331702748494012,0.0043500008083339,0.0286884674519815,0.0331970020776188,0.00145897635693155,0.000116667291468618,6.01151017018562e-10,0.0001166674500004,0.0286884674519815,0.0331970020776188,0.00145897635693155,0.000116667291468618,6.01151017018562e-10,0.0001166674500004
