UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_mean_rate_before_handoff_affected,mean_mean_rate_after_handoff_affected,mean_mean_rate_after_handoff_affected_wo_algo,mean_mean_rate_before_handoff_not_affected,mean_mean_rate_after_handoff_not_affected,mean_mean_rate_after_handoff_not_affected_wo_algo,mean_rate_after_handoff_fr2,mean_rate_after_handoff_fr2_wo_algo
7,25,500,300,400000000,10,0.1,80,99220816.2574563,35411568.2522794,99054229.67271,99323390.209494,99253986.2287519,99184709.6552042,671439045.214691,753981423.813353
7,25,750,300,400000000,10,0.1,90,98722440.3347554,35683591.7806323,98400700.3183987,98836972.6438968,98852894.4308495,98550986.943625,672781011.145235,710862926.426289
7,25,1000,300,400000000,10,0.1,90,97900541.7615468,36165757.9788447,97198640.5137439,98087584.8983745,98269913.810881,97463972.0370265,614781505.821134,587671366.068775
8,25,250,300,400000000,10,0.1,40,99649020.5398307,35192346.3348587,99566109.5819913,99725439.0169567,99697602.4701228,99672696.6335712,675287278.281834,803534346.642524
8,25,500,300,400000000,10,0.1,70,99221570.1469587,35414988.2782073,99042678.9625747,99306081.6789758,99193087.6709435,99151502.1661741,681100202.203586,773120497.161277
8,25,750,300,400000000,10,0.1,80,98728375.4604981,35684536.0337835,98380786.5288127,98787912.1082413,98755785.0874052,98470385.3127891,642131584.305783,671504820.241719
8,25,1000,300,400000000,10,0.1,90,97900541.7615468,36165757.9788447,97198640.5137439,98087584.8983745,98269913.810881,97463972.0370265,635407099.198074,623138799.965827
9,25,250,300,400000000,10,0.1,30,99660745.1465816,35187821.5133238,99573416.8903578,99729318.7119643,99687892.025121,99669948.5280979,697992814.693307,850453186.445475
9,25,500,300,400000000,10,0.1,70,99221570.1469587,35414988.2782073,99042678.9625747,99306081.6789758,99193087.6709435,99151502.1661741,645937511.531167,713110866.028838
9,25,750,300,400000000,10,0.1,80,98728375.4604981,35684536.0337835,98380786.5288127,98787912.1082413,98755785.0874052,98470385.3127891,633244950.460114,664789289.334316
9,25,1000,300,400000000,10,0.1,90,97900541.7615468,36165757.9788447,97198640.5137439,98087584.8983745,98269913.810881,97463972.0370265,651070770.351627,643999787.79256
10,25,250,300,400000000,10,0.1,20,99654333.138494,35192267.8944188,99559998.930534,99707503.2547212,99655878.4200666,99644469.880978,709178384.090771,852702822.457618
10,25,500,300,400000000,10,0.1,60,99226288.6200987,35405497.1282607,99034858.3115287,99308142.4427277,99139825.804838,99141378.1763563,658586975.749343,736711015.256184
10,25,750,300,400000000,10,0.1,80,98728375.4604981,35684536.0337835,98380786.5288127,98787912.1082413,98755785.0874052,98470385.3127891,609884314.778086,627215131.688027
10,25,1000,300,400000000,10,0.1,80,97902239.7171688,36166921.3394961,97138503.1510551,98071869.0894989,98157725.3844787,97384908.2296462,609553390.844712,585189519.124591
11,25,250,300,400000000,10,0.1,20,99654333.138494,35192267.8944188,99559998.930534,99707503.2547212,99655878.4200666,99644469.880978,646084289.554239,797424956.793185
11,25,500,300,400000000,10,0.1,60,99226288.6200987,35405497.1282607,99034858.3115287,99308142.4427277,99139825.804838,99141378.1763563,632564354.211675,710644951.763132
